name,district,votenumber,party,age,occupation,education,page,oik,nat,lib,segment
Sauli  Isokoski,10 Vaasan vaalipiiri,22,Vasemmistoliitto,40,Myyjä,ammattitutkinto ,https://www.facebook.com/pages/Sauli-Isokoski/336456679898405,-1.498246287,-0.9138066494,0.6718745665,Vasemmistoliberaalit
Sophia Leppä,01 Helsingin vaalipiiri,35,Vasemmistoliitto,23,painotuotantoassistentti,ylioppilas ,http://sophialeppa.org/,-1.4931864652,-1.2337824153,0.9482550504,Vasemmistoliberaalit
Joni Orava,09 Savo-Karjalan vaalipiiri,134,Vasemmistoliitto,37,Fyysikko/tutkija & FT,korkeakoulututkinto ,http://ehdokas.vasemmisto.fi/joniorava/,-1.492830213,-0.8351567132,0.2086333781,Vasemmistoliberaalit
Immanuel Grönlund,10 Vaasan vaalipiiri,20,Vasemmistoliitto,33,www-kehittäjä,korkeakoulututkinto ,http://ehdokas.vasemmisto.fi/immanuelgronlund/,-1.4864307152,-1.5875735902,0.6443664117,Vasemmistoliberaalit
Anneli Kaarina Lehtonen,07 Pirkanmaan vaalipiiri,148,Vasemmistoliitto,61,matematiikan & fysiikan ja kemian lehtori,korkeakoulututkinto ,http://ehdokas.vasemmisto.fi/annelilehtonen/,-1.4844821824,-1.3527660472,0.8415847833,Vasemmistoliberaalit
Raisa Ranta,04 Satakunnan vaalipiiri,71,Vasemmistoliitto,36,hankeneuvoja,korkeakoulututkinto ,http://raisaranta.fi,-1.4844821824,-1.3527660472,0.8415847833,Vasemmistoliberaalit
Jarmo Huhtala,13 Lapin vaalipiiri,18,Vasemmistoliitto,52,Ylitarkastaja,,http://jarmohuhtala.wix.com/jarmohuhtala,-1.4619284988,-0.6606843754,0.1792548463,Vasemmistoliberaalit
Marjukka Huttunen,11 Keski-Suomen vaalipiiri,101,Vasemmistoliitto,28,sosiaalityön opiskelija,korkeakoulututkinto ,http://www.marjukkahuttunen.fi,-1.4601612344,-1.2522841792,0.9177150817,Vasemmistoliberaalit
Heikki Mustonen,10 Vaasan vaalipiiri,29,Vasemmistoliitto,52,Pääluottamusmies,peruskoulu ,,-1.4546528041,-0.8213687003,0.5270495025,Vasemmistoliberaalit
Aino-Kaisa  Pekonen,06 Hämeen vaalipiiri,30,Vasemmistoliitto,36,kansanedustaja,ammattitutkinto ,http://www.aino-kaisa.fi,-1.452733835,-0.9567975219,0.8908332661,Vasemmistoliberaalit
Juha-Matti Kiviluoma,10 Vaasan vaalipiiri,23,Vasemmistoliitto,24,Duunari,ylioppilas ,http://ehdokas.vasemmisto.fi/juhamattikiviluoma,-1.4514481891,-0.0709973419,0.396508951,Vasemmistoliberaalit
Irma Koskela,07 Pirkanmaan vaalipiiri,144,Vasemmistoliitto,60,sosiaalityöntekijä & psykoterapeutti,korkeakoulututkinto ,http://www.ehdokas.vasemmisto.fi/irmakoskela,-1.4501155943,-1.2376661578,0.7044976308,Vasemmistoliberaalit
Sade Toivo Ilmari Kondelin,03 Varsinais-Suomen vaalipiiri,139,Vasemmistoliitto,29,Tohtorikoulutettava,korkeakoulututkinto ,http://sadekondelin.fi,-1.4464925288,-1.5031265025,0.9616776548,Vasemmistoliberaalit
Anu Nevanlinna,02 Uudenmaan vaalipiiri,178,Vasemmistoliitto,64,lastentarhanopettaja,ammattitutkinto ,http://ehdokas.vasemmisto.fi/anunevanlinna/,-1.4454146538,-1.2469789089,0.7592690689,Vasemmistoliberaalit
