name,district,votenumber,party,age,occupation,education,page,oik,nat,lib,segment
anna vuorinen,10 Vaasan vaalipiiri,124,Muutos 2011,53,parturi-kampaaja,ammattitutkinto ,https://www.facebook.com/anna.salminen,0.0482335619,2.1384688495,1.0274065747,Nationalistikonservatiivit
Juhani Linnanheimo,01 Helsingin vaalipiiri,179,Muutos 2011,53,Myyntipäällikkö,ammattitutkinto ,http://www.linnanheimo.fi,0.1295717243,2.1004778712,-0.541970621,Nationalistikonservatiivit
Kristina Ljungqvist,02 Uudenmaan vaalipiiri,246,Muutos 2011,67,Tiedottaja,,http://www.kristina2015.fi,0.1450401086,1.5393856791,-0.6782085285,Nationalistikonservatiivit
Liisa Sirainen,02 Uudenmaan vaalipiiri,252,Muutos 2011,52,Autonkuljettaja,,https://www.facebook.com/liisa.sirainen,0.1643477235,1.5430950977,1.0339124037,Nationalistikonservatiivit
Tuula Komsi,01 Helsingin vaalipiiri,178,Muutos 2011,50,Kouluttaja,korkeakoulututkinto ,http://www.komsituula.julkaisee.fi,0.2626113596,1.8173415432,0.2041174023,Nationalistikonservatiivit
Markku Penttilä,01 Helsingin vaalipiiri,180,Muutos 2011,70,Peruskoulun opettaja,,,0.2914988277,0.8582943765,-0.218110498,Konservatiivit
Mitja Päivinen,02 Uudenmaan vaalipiiri,248,Muutos 2011,32,Ympäristöteknologian opiskelija,korkeakoulututkinto ,http://www.mitjapaivinen.fi/,0.3044866344,1.747820146,-0.2070551083,Nationalistikonservatiivit
Jouni Kaskiharju,02 Uudenmaan vaalipiiri,241,Muutos 2011,51,Tietoliikenneasiantuntija,korkeakoulututkinto ,http://www.kaskiharju.net/,0.3360665815,1.5227298249,-0.7060517634,Nationalistikonservatiivit
Harri Lehtonen,13 Lapin vaalipiiri,32,Muutos 2011,54,Luutnantti evp.,ylioppilas ,https://www.facebook.com/hilehtonen,0.3472446971,2.0848104933,-0.269221228,Nationalistikonservatiivit
Erik Andrei Järvi,02 Uudenmaan vaalipiiri,239,Muutos 2011,38,postityöntekijä,,https://www.facebook.com/erikandrei.jarvi,0.3819720572,1.7426554768,-0.3964140061,Nationalistikonservatiivit
Richard Järnefelt,02 Uudenmaan vaalipiiri,238,Muutos 2011,51,pappi & pianisti,korkeakoulututkinto ,http://www.touche.bz/fi/,0.413076919,1.6904880598,0.4048325903,Nationalistikonservatiivit
Marjukka Kaakkola,02 Uudenmaan vaalipiiri,240,Muutos 2011,53,Sairaanhoitaja AMK & ylioppilas,korkeakoulututkinto ,http://www.marjukkakaakkola.com,0.4979713818,1.8033201242,0.3356368386,Nationalistikonservatiivit
James Hirvisaari,02 Uudenmaan vaalipiiri,236,Muutos 2011,54,Kansanedustaja,ylioppilas ,http://www.hirvisaari.fi,0.6496208853,2.0941341186,0.6237230679,Nationalistikonservatiivit
Matti Järviharju,10 Vaasan vaalipiiri,123,Muutos 2011,71,yrittäjä &  merikapteeni,korkeakoulututkinto ,http://www.ikl.fi/,0.7322452772,1.6049142236,-0.6650568504,Nationalistikonservatiivit
Anssi Putkonen,07 Pirkanmaan vaalipiiri,176,Muutos 2011,47,ravintola yrittäjä,,http://www.anssiputkonen.fi,0.887754872,0.5693782933,0.8238633607,Markkinaliberaalit
Martti Munne,02 Uudenmaan vaalipiiri,247,Muutos 2011,33,Asiantuntija rahoitusalalla,korkeakoulututkinto ,http://www.marttimunne.fi,1.0334342643,1.9079891465,0.3449874073,Nationalistikonservatiivit
tero turpeinen,09 Savo-Karjalan vaalipiiri,55,Muutos 2011,27,taksiautoilija,ammattitutkinto ,https://www.facebook.com/tero.turpeinen.75,1.0410843262,1.7390577452,-0.6425735886,Nationalistikonservatiivit
Samuli Mikkola,13 Lapin vaalipiiri,31,Muutos 2011,39,Opiskelen kahta korkeakoulututkintoa.,korkeakoulututkinto ,,1.082462231,0.9984030487,0.3148619727,Markkinaliberaalit
Peter Fryckman,02 Uudenmaan vaalipiiri,234,Muutos 2011,63,Hallituksen puheenjohtaja,,https://www.facebook.com/peter.fryckman,1.1564462913,2.1760327137,-0.1907023979,Nationalistikonservatiivit
Jari Leino,02 Uudenmaan vaalipiiri,244,Muutos 2011,50,englannin kääntäjä,korkeakoulututkinto ,http://www.jarileino.com/,1.2611785328,2.0166871662,0.3929637162,Nationalistikonservatiivit
Kyuu Eturautti,02 Uudenmaan vaalipiiri,233,Muutos 2011,35,Tietoturvapäällikkö,ammattitutkinto ,http://www.kyuu.org/,1.2951577757,1.8649557447,0.8231957718,Nationalistikonservatiivit
Oula Lintula,07 Pirkanmaan vaalipiiri,174,Muutos 2011,35,Liikenneyrittäjä,ylioppilas ,http://www.oulalintula.fi/,1.3618986393,1.4290176725,1.3850440943,Nationalistikonservatiivit
Hannu Tapio Tanskanen,02 Uudenmaan vaalipiiri,256,Muutos 2011,72,tiedetoimittaja,,,1.4471664782,1.7108924991,-0.7340016722,Nationalistikonservatiivit
Tuukka Kuru,13 Lapin vaalipiiri,30,Muutos 2011,24,opiskelija,korkeakoulututkinto ,http://kansojenherra.puheenvuoro.uusisuomi.fi/,1.9759079469,1.4192723129,0.6107911783,Markkinaliberaalit
Matti Luostarinen,06 Hämeen vaalipiiri,40,Perussuomalaiset,63,prof.emeritus &  yrittäjä & kirjailija & kuvataiteilija & bloggaaja,korkeakoulututkinto ,http://www.clusterart.org,-1.0405643006,1.4820560119,-0.2484310099,Nationalistikonservatiivit
Nina Huru,01 Helsingin vaalipiiri,159,Perussuomalaiset,54,leikkaus- ja anestesiahoitaja,ylioppilas ,http://ninahuru.fi,-0.8652588378,0.6430776316,-1.389793542,Maltillinen vasemmisto
Minna Reijonen,09 Savo-Karjalan vaalipiiri,15,Perussuomalaiset,42,Farmaseutti,korkeakoulututkinto ,http://www.minnareijonen.com,-0.7986122665,1.9042475264,-0.6427923889,Nationalistikonservatiivit
Esko Juhani Saastamoinen,09 Savo-Karjalan vaalipiiri,16,Perussuomalaiset,55,Sähköasentaja,ammattitutkinto ,http://www.eskosaastamoinen.fi,-0.7948752851,1.8176651202,-0.4720527369,Nationalistikonservatiivit
Jarmo Juntunen,13 Lapin vaalipiiri,37,Perussuomalaiset,59,Yrittäjä & toimittaja,ammattitutkinto ,http://www.jarmojuntunen.fi,-0.7934811868,0.4066222903,0.0259576921,Nationalistikonservatiivit
Veijo Lappalainen,02 Uudenmaan vaalipiiri,66,Perussuomalaiset,51,Kaukolämpöasentaja,ammattitutkinto ,http://veijolappalainen.ehdolla.fi/,-0.786709183,1.2397663951,0.2224004081,Nationalistikonservatiivit
Peter Muurman,08 Kaakkois-Suomen vaalipiiri,113,Perussuomalaiset,70,Yhteiskuntatieteiden maisteri ja sosionomi,korkeakoulututkinto ,http://www.petermuurman.net,-0.7849399358,1.3456179881,-0.4694591033,Nationalistikonservatiivit
Sirpa Kulin,09 Savo-Karjalan vaalipiiri,9,Perussuomalaiset,57,Asiakaspalvelupäällikkö,ammattitutkinto ,http://www.sirpakulin.net/,-0.7463539229,1.3612678295,-0.0187279651,Nationalistikonservatiivit
Lasse Mikkola,12 Oulun vaalipiiri,124,Perussuomalaiset,56,opettaja,korkeakoulututkinto ,http://www.lasse.mikkola2015.com,-0.6679889704,1.3942400895,-0.1889339551,Nationalistikonservatiivit
Harri Kerijoki,06 Hämeen vaalipiiri,36,Perussuomalaiset,65,Puuseppä,joku muu,http://www.facebook.com/harri.kerijoki,-0.6517063507,1.112023437,-0.7741526081,Nationalistikonservatiivit
Pasi Mäenranta,04 Satakunnan vaalipiiri,20,Perussuomalaiset,51,koneahtaaja,peruskoulu ,http://www.pasimaenranta.fi,-0.593489281,1.9571880719,0.4684032051,Nationalistikonservatiivit
Marko Törhönen,07 Pirkanmaan vaalipiiri,134,Perussuomalaiset,38,Osastopäällikkö,ammattitutkinto ,https://www.facebook.com/pages/Marko-T%C3%B6rh%C3%B6nen-Eduskuntaan/636934109737670?fref=ts,-0.591120674,2.003125277,0.5346190829,Nationalistikonservatiivit
Pentti Oinonen,09 Savo-Karjalan vaalipiiri,13,Perussuomalaiset,62,Kansanedustaja,ammattitutkinto ,http://www.penttioinonen.fi,-0.57799309,1.8062777488,-0.5768633926,Nationalistikonservatiivit
Tero Kokko,12 Oulun vaalipiiri,119,Perussuomalaiset,38,Toimitusjohtaja,joku muu,,-0.5731870315,0.4735969505,0.6334905606,Nationalistikonservatiivit
Lulu Ranne,06 Hämeen vaalipiiri,42,Perussuomalaiset,43,diplomi-insinööri,korkeakoulututkinto ,https://www.luluranne.fi,-0.5720243501,1.1297755617,0.1988281621,Nationalistikonservatiivit
Marko Ekqvist,01 Helsingin vaalipiiri,157,Perussuomalaiset,45,IT-konsultti,korkeakoulututkinto ,http://vaalit.ekqvist.fi,-0.5567333748,1.7780799511,-0.592572987,Nationalistikonservatiivit
Ahti Moilanen,12 Oulun vaalipiiri,125,Perussuomalaiset,58,Liikenneopettaja,ammattitutkinto ,http://www.ahtimoilanen.ehdolla.fi,-0.5504760941,1.622370111,-0.875702473,Nationalistikonservatiivit
Mikko Nurmo,07 Pirkanmaan vaalipiiri,127,Perussuomalaiset,37,Pääluottamusmies,korkeakoulututkinto ,http://www.mikkonurmo.fi,-0.5427078784,1.8060013211,-0.1496441975,Nationalistikonservatiivit
Mikko Lundén,03 Varsinais-Suomen vaalipiiri,81,Perussuomalaiset,35,Palveluesimies,ammattitutkinto ,http://www.facebook.com/mikko.lunden,-0.5216556419,1.463746032,-0.7654986386,Nationalistikonservatiivit
Pia Kopra,01 Helsingin vaalipiiri,166,Perussuomalaiset,50,kieltenopettaja,korkeakoulututkinto ,http://www.piakopra.fi,-0.5195931469,1.7686102432,-1.3719063298,Nationalistikonservatiivit
Marko Tiainen,11 Keski-Suomen vaalipiiri,73,Perussuomalaiset,41,Metallimies,ammattitutkinto ,,-0.4724559797,1.1745624076,0.8545892976,Nationalistikonservatiivit
Ville Saukkola,02 Uudenmaan vaalipiiri,82,Perussuomalaiset,45,poliisi,ammattitutkinto ,http://www.saukkola.fi,-0.4411817455,1.1219687875,-0.7884598495,Nationalistikonservatiivit
Pirkko Mattila,12 Oulun vaalipiiri,123,Perussuomalaiset,50,Kansanedustaja,korkeakoulututkinto ,http://www.pirkkomattila.fi,-0.4304702019,0.6298762694,-0.6201405503,Konservatiivit
Lauri Heikkilä,03 Varsinais-Suomen vaalipiiri,75,Perussuomalaiset,57,Mikroelektroniikan erikoistutkija & kansanedustaja,korkeakoulututkinto ,http://www.lauriheikkila.fi,-0.4291532358,1.6965022609,-0.8098789383,Nationalistikonservatiivit
Juha Liukkonen,12 Oulun vaalipiiri,122,Perussuomalaiset,48,Ammattikorkeakoulu,korkeakoulututkinto ,http://www.juhaliukkonen.com,-0.4261071371,1.6733529098,-0.3786947693,Nationalistikonservatiivit
Arja Juvonen,02 Uudenmaan vaalipiiri,58,Perussuomalaiset,47,Kansanedustaja & Geronomi(AMK) & perushoitaja,korkeakoulututkinto ,http://www.arjajuvonen.fi,-0.4191077894,1.5377441337,-0.058086454,Nationalistikonservatiivit
Eero Paananen,11 Keski-Suomen vaalipiiri,69,Perussuomalaiset,33,Hälytyskeskuspäivystäjä,ammattitutkinto ,http://www.eero-paananen.tk,-0.390686927,2.1536966318,0.4963609553,Nationalistikonservatiivit
Seppo Silvennoinen,07 Pirkanmaan vaalipiiri,132,Perussuomalaiset,55,kansainvälisten projektien päällikkö & teknikko & ammattijohtaja,ammattitutkinto ,http://www.sepposilvennoinen.fi,-0.3794541119,1.8214110029,0.6326362346,Nationalistikonservatiivit
Sanna Antikainen,09 Savo-Karjalan vaalipiiri,2,Perussuomalaiset,26,Lähihoitaja,ammattitutkinto ,http://www.antikainensanna.fi,-0.375790442,1.6269848938,0.1049697096,Nationalistikonservatiivit
Helena Kantola,01 Helsingin vaalipiiri,164,Perussuomalaiset,49,Eduskunta-avustaja,korkeakoulututkinto ,http://www.helenakantola.fi,-0.373408186,1.0909128514,0.1417738817,Nationalistikonservatiivit
Kirsi-Maarit Asplund,07 Pirkanmaan vaalipiiri,118,Perussuomalaiset,49,Asuntomyyjä,,http://kirsimaaritasplund.com,-0.3718314736,1.1017001852,-1.3885837645,Nationalistikonservatiivit
Petri Huru,04 Satakunnan vaalipiiri,12,Perussuomalaiset,48,ylipalomies-sairaankuljettaja,ammattitutkinto ,https://vaalit.perussuomalaiset.fi/ehdokkaat/petri-huru,-0.3682043015,1.6802236733,-1.1927689566,Nationalistikonservatiivit
Tarmo Salonen,13 Lapin vaalipiiri,43,Perussuomalaiset,62,Sähköteknikko,,https://www.facebook.com/fasebook.com/tarmosaloneneduskuntaan,-0.3462934116,0.9234018354,-0.4710851254,Nationalistikonservatiivit
Maiju Tapiolinna,02 Uudenmaan vaalipiiri,87,Perussuomalaiset,49,sairaanhoitaja,ammattitutkinto ,http://www.maijutapiolinna.fi,-0.3232376159,1.7592801527,-0.4109049289,Nationalistikonservatiivit
Jani Mäkelä,08 Kaakkois-Suomen vaalipiiri,114,Perussuomalaiset,38,Järjestelmäasiantuntija,korkeakoulututkinto ,http://www.janimakela.fi/,-0.2929607797,1.7578822594,0.2981387626,Nationalistikonservatiivit
Kristiina Heinonen,04 Satakunnan vaalipiiri,10,Perussuomalaiset,51,Tori-ja markkinakauppias,ammattitutkinto ,http://www.kikankivat.fi,-0.28370104,1.2186033333,0.0635603136,Nationalistikonservatiivit
Marjaana Mikkonen,09 Savo-Karjalan vaalipiiri,12,Perussuomalaiset,44,Lastentarhanopettaja & sosiaali- ja terveysalan opettaja,korkeakoulututkinto ,http://www.marjaanamikkonen.fi,-0.2789080842,0.9105219236,-0.1154410603,Nationalistikonservatiivit
Anne Louhelainen,06 Hämeen vaalipiiri,39,Perussuomalaiset,50,Kansanedustaja,ylioppilas ,http://www.annelouhelainen.net,-0.2766565051,1.7554677473,-0.3835997067,Nationalistikonservatiivit
Simo Rajamäki,03 Varsinais-Suomen vaalipiiri,83,Perussuomalaiset,51,atk-suunnittelija,ammattitutkinto ,http://www.simorajamaki.com,-0.2734807888,0.9922816919,0.8861039009,Nationalistikonservatiivit
Raul Lehto,08 Kaakkois-Suomen vaalipiiri,111,Perussuomalaiset,41,työnjohtaja,korkeakoulututkinto ,http://www.raullehto.ehdolla.fi,-0.2721990826,0.862314245,-0.1793675815,Nationalistikonservatiivit
Lea Mäkipää,07 Pirkanmaan vaalipiiri,124,Perussuomalaiset,67,kansanedustaja,ammattitutkinto ,http://leamakipaa.fi,-0.271493963,0.9567895439,-0.7832358677,Konservatiivit
Juha Malmi,02 Uudenmaan vaalipiiri,73,Perussuomalaiset,51,tutkimushaastattelija,korkeakoulututkinto ,http://www.juhamalmi.fi,-0.2707017209,1.717290087,-0.7401952872,Nationalistikonservatiivit
Eero Bogdanoff,09 Savo-Karjalan vaalipiiri,3,Perussuomalaiset,59,ylipalomies,ammattitutkinto ,,-0.2580715159,0.6719912438,-0.2797580661,Konservatiivit
Heidi Selenius,06 Hämeen vaalipiiri,45,Perussuomalaiset,45,Logistiikan esimies,ammattitutkinto ,http://www.heidiselenius.com,-0.2297213797,0.1046687064,-0.1238346862,Maltillinen vasemmisto
Jari Lindström,08 Kaakkois-Suomen vaalipiiri,112,Perussuomalaiset,49,kansanedustaja,ammattitutkinto ,http://jarppalindstrom.net,-0.217308583,1.8672537236,0.1560853582,Nationalistikonservatiivit
Kauko Isomäki,11 Keski-Suomen vaalipiiri,64,Perussuomalaiset,63,yrittäjä & toimitusjohtaja,,,-0.2020822752,1.8425747417,-0.1049902599,Nationalistikonservatiivit
Harri Tauriainen,13 Lapin vaalipiiri,45,Perussuomalaiset,39,prosessityöntekijä / talonrakentaja,ammattitutkinto ,,-0.2003887389,1.4309848016,0.2965709603,Nationalistikonservatiivit
Kai-Ari Lundell,02 Uudenmaan vaalipiiri,70,Perussuomalaiset,59,luokanopettaja,korkeakoulututkinto ,http://kaiarilundell.blogspot.fi,-0.1872068513,1.4340746181,-0.1409519697,Nationalistikonservatiivit
Jani Kolehmainen,09 Savo-Karjalan vaalipiiri,8,Perussuomalaiset,38,Putkimies,ammattitutkinto ,http://www.putkijani.com,-0.1865603794,1.2555103706,0.0778173473,Nationalistikonservatiivit
Antti Salminen,06 Hämeen vaalipiiri,44,Perussuomalaiset,40,Testausasiantuntija,ammattitutkinto ,http://www.anttisalminen.fi,-0.1743900397,1.9346077646,-0.2419069287,Nationalistikonservatiivit
Mika Laakso,07 Pirkanmaan vaalipiiri,122,Perussuomalaiset,37,Rakennusmies,peruskoulu ,,-0.1701529007,1.5522183526,0.1277349657,Nationalistikonservatiivit
Marianne Ostamo,04 Satakunnan vaalipiiri,21,Perussuomalaiset,30,Projekti-insinööri,korkeakoulututkinto ,https://vaalit.perussuomalaiset.fi/ehdokkaat/marianne-ostamo,-0.1564349459,1.6615687396,0.6512728488,Nationalistikonservatiivit
Mira Katajamäki,03 Varsinais-Suomen vaalipiiri,77,Perussuomalaiset,42,Bioanalyytikko,korkeakoulututkinto ,http://www.mirakatajamaki.fi,-0.1378846372,1.7659101005,0.5146636737,Nationalistikonservatiivit
Jarmo Kyyrö,09 Savo-Karjalan vaalipiiri,11,Perussuomalaiset,47,metallimies,,https://www.facebook.com/pages/Jarmo-Kyyr%C3%B6-eduskuntavaaliehdokas/633726086716903,-0.1319974128,1.7988544437,0.3600565472,Nationalistikonservatiivit
Mika Niikko,02 Uudenmaan vaalipiiri,77,Perussuomalaiset,48,Järjestöjohtaja ja yrittäjä,ammattitutkinto ,http://mikaniikko.fi/,-0.1316173288,1.9002387146,-1.0785431037,Nationalistikonservatiivit
Pasi Paananen,09 Savo-Karjalan vaalipiiri,14,Perussuomalaiset,49,Laatupäällikkö,korkeakoulututkinto ,http://pasipaananen.net,-0.1271530672,1.89330189,0.9322475657,Nationalistikonservatiivit
Kaj Turunen,08 Kaakkois-Suomen vaalipiiri,118,Perussuomalaiset,54,kansanedustaja,ammattitutkinto ,http://www.kajturunen.fi,-0.1023119347,1.7380072861,0.2484776377,Nationalistikonservatiivit
Janne Aso,03 Varsinais-Suomen vaalipiiri,71,Perussuomalaiset,39,palotarkastaja & työsuojeluvaltuutettu,joku muu,http://www.janneaso.fi,-0.100442632,1.551742721,-1.000120931,Nationalistikonservatiivit
Iiro Silvander,02 Uudenmaan vaalipiiri,83,Perussuomalaiset,42,Perussuomalaisten eduskuntaryhmän asiantuntija,korkeakoulututkinto ,http://www.iirosilvander.kotisivukone.com,-0.0990478155,1.477467062,-1.0657465651,Nationalistikonservatiivit
Tommi Laitila,04 Satakunnan vaalipiiri,16,Perussuomalaiset,34,Prosessityöntekijä,ylioppilas ,http://www.tommilaitila.fi,-0.0985531686,1.9802347246,0.1597497382,Nationalistikonservatiivit
Janne Halunen,12 Oulun vaalipiiri,115,Perussuomalaiset,32,Yhdistelmäajoneuvonkuljettaja,peruskoulu ,http://janne.halunen.ehdolla.fi,-0.0890345272,1.9298363102,0.3327155573,Nationalistikonservatiivit
Johanna Jurva,02 Uudenmaan vaalipiiri,57,Perussuomalaiset,37,Kansanedustaja,ammattitutkinto ,http://www.johannajurva.fi,-0.0821527773,1.1206161442,-1.051560515,Konservatiivit
Vilhelm Junnila,03 Varsinais-Suomen vaalipiiri,76,Perussuomalaiset,33,eduskunta-avustaja & työnjohtaja,,http://vilhelmjunnila.fi,-0.0629516369,1.6611040869,-0.1419519599,Nationalistikonservatiivit
Maarit  Tuomi,06 Hämeen vaalipiiri,47,Perussuomalaiset,47,lähihoitaja & yo-merkonomi,ylioppilas ,http://www.maarittuomi.net,-0.0511731939,1.8039797248,-0.7687270245,Nationalistikonservatiivit
Mauno Vanhala,11 Keski-Suomen vaalipiiri,74,Perussuomalaiset,65,Yleislääketieteen professori,korkeakoulututkinto ,http://www.maunovanhala.net,-0.0479656612,0.3951066827,-0.2618620588,Konservatiivit
Marita Salenius,11 Keski-Suomen vaalipiiri,71,Perussuomalaiset,60,maanviljelijä,ammattitutkinto ,http://www.facebook.com/maritasaleniusPS,-0.0356905953,0.9022254288,-0.3370813688,Konservatiivit
Hanna Mäntylä,13 Lapin vaalipiiri,41,Perussuomalaiset,40,Kansanedustaja,,http://www.hannamantyla.fi,-0.0245115596,1.9835118448,-0.2942383052,Nationalistikonservatiivit
Ritva Kike Elomaa,03 Varsinais-Suomen vaalipiiri,72,Perussuomalaiset,59,Kansanedustaja & röntgenhoitaja & yrittäjä,ammattitutkinto ,http://www.kikeelomaa.com,-0.0214790295,1.0780616151,-0.664914437,Nationalistikonservatiivit
Reijo Lahtonen,11 Keski-Suomen vaalipiiri,67,Perussuomalaiset,50,Yrittäjä,,http://www.reijolahtonen.com,-0.0026493512,0.7516536237,0.3908101418,Nationalistikonservatiivit
Anne Snellman,12 Oulun vaalipiiri,127,Perussuomalaiset,47,Filosofian tohtori,korkeakoulututkinto ,http://www.annesnellman.fi,0.0046550776,1.1931058842,0.5680711503,Nationalistikonservatiivit
Simon Elo,02 Uudenmaan vaalipiiri,56,Perussuomalaiset,28,Valtiotieteiden kandidaatti,korkeakoulututkinto ,http://www.simonelo.fi/,0.0076369111,2.1621290856,-0.7887477912,Nationalistikonservatiivit
Aleksi Niskanen,01 Helsingin vaalipiiri,168,Perussuomalaiset,28,Myyjä,korkeakoulututkinto ,http://www.aleksiniskanen.fi/,0.0139935148,1.6864902733,0.0810303457,Nationalistikonservatiivit
Piritta Poikonen,02 Uudenmaan vaalipiiri,79,Perussuomalaiset,39,Lakimies,korkeakoulututkinto ,http://www.pirittapoikonen.fi,0.0200894476,0.2620346402,1.2930696505,Liberaalit
Terho Korpikoski,13 Lapin vaalipiiri,38,Perussuomalaiset,60,Kone- ja  laiteasentaja Koneteknikko & Kapallinen koulutus merkantin tiedot. Tietotekniikka n. vuosi,ammattitutkinto ,http://facebook.com/terho.korpikoski,0.0282706197,1.7342639656,0.0768280699,Nationalistikonservatiivit
Mikko Wikstedt,02 Uudenmaan vaalipiiri,90,Perussuomalaiset,51,insinööri,korkeakoulututkinto ,http://www.mikkowikstedt.fi,0.0565325669,0.9507534687,-0.0013095079,Nationalistikonservatiivit
Eeva-Maria Tuominen,06 Hämeen vaalipiiri,48,Perussuomalaiset,50,esittelijä eduskunnan oikeusasiamiehen kansliassa,korkeakoulututkinto ,http://www.eevamariatuominen.fi,0.0648234236,1.1219495011,-0.5054504197,Konservatiivit
Juha Rikala,10 Vaasan vaalipiiri,78,Perussuomalaiset,50,Opettaja,korkeakoulututkinto ,https://juharikala.wordpress.com/,0.0712748883,1.4753019576,-0.4608490967,Nationalistikonservatiivit
Antti Valpas,01 Helsingin vaalipiiri,177,Perussuomalaiset,36,Eduskuntasihteeri,ylioppilas ,http://www.valpas.info,0.074787343,1.3628187897,0.4247042014,Nationalistikonservatiivit
Ari Södervall,13 Lapin vaalipiiri,44,Perussuomalaiset,57,Liikenneopettaja,ammattitutkinto ,http://www.facebook.com,0.1054209111,0.8769706931,-0.7205800262,Konservatiivit
Toimi Kankaanniemi,11 Keski-Suomen vaalipiiri,65,Perussuomalaiset,65,ex-kansanedustaja,korkeakoulututkinto ,http://toimi-kankaanniemi.blogspot..com,0.1170239046,1.551221861,-0.2399408952,Nationalistikonservatiivit
Arto Luukkanen,02 Uudenmaan vaalipiiri,71,Perussuomalaiset,50,Venäjän ja Itä-Euroopan tutkimuksen yliopistolehtori,korkeakoulututkinto ,http://www.artoluukkanen.com/,0.1191480249,0.7252444505,-0.7071796918,Konservatiivit
Silvia Koski,03 Varsinais-Suomen vaalipiiri,78,Perussuomalaiset,35,kanttori & musiikkipedagogi,korkeakoulututkinto ,http://www.silviakoski.fi,0.1242521028,1.8584249668,-0.0859948305,Nationalistikonservatiivit
Osmo Urmas Kokko,09 Savo-Karjalan vaalipiiri,7,Perussuomalaiset,60,Kuljetusalan yrittäjä ja kansanedustaja,ammattitutkinto ,http://www.osmokokko.fi,0.1243548182,1.1586106881,-0.2958895485,Nationalistikonservatiivit
Kirsi Mäkilaine,02 Uudenmaan vaalipiiri,76,Perussuomalaiset,45,sairaanhoitaja,joku muu,http://www.kirsimakilaine.ehdolla.fi/,0.1258615742,1.7393973088,0.2952403708,Nationalistikonservatiivit
Anneli Manninen,10 Vaasan vaalipiiri,72,Perussuomalaiset,61,Konetekniikan diplomi-insinööri,korkeakoulututkinto ,http://www.annelimanninen.fi,0.1272474955,1.2512277426,-1.6607291251,Nationalistikonservatiivit
Timo Soini,02 Uudenmaan vaalipiiri,86,Perussuomalaiset,52,Puheenjohtaja,korkeakoulututkinto ,http://www.timosoini.fi,0.1525627005,1.1920674422,-0.8755318185,Nationalistikonservatiivit
Laura Huhtasaari,04 Satakunnan vaalipiiri,11,Perussuomalaiset,35,Opettaja,korkeakoulututkinto ,http://www.laurahuhtasaari.fi/,0.1532557956,1.7394528892,-0.6398611643,Nationalistikonservatiivit
Maria Landén,01 Helsingin vaalipiiri,167,Perussuomalaiset,28,Kansanedustajan avustaja,peruskoulu ,http://www.marialanden.fi,0.1833770078,1.8465494628,-0.8425838982,Nationalistikonservatiivit
Veijo Niemi,07 Pirkanmaan vaalipiiri,126,Perussuomalaiset,60,Poliisi,ammattitutkinto ,http://www.veijoniemi.fi,0.211913743,0.6986974584,-0.4484138197,Konservatiivit
Airi Aalto,08 Kaakkois-Suomen vaalipiiri,105,Perussuomalaiset,57,erityisopettaja,korkeakoulututkinto ,http://www.airiaalto.fi,0.2265316455,0.8919244148,-0.8450404425,Nationalistikonservatiivit
Tanja Hartonen-Pulkka,08 Kaakkois-Suomen vaalipiiri,107,Perussuomalaiset,44,Lähihoitaja,ammattitutkinto ,https://www.facebook.com/kansanedustajaksi?ref=bookmarks,0.23262734,1.5366504336,-0.231303523,Nationalistikonservatiivit
Maria Tolppanen,10 Vaasan vaalipiiri,81,Perussuomalaiset,62,Kansanedustaja & tv-toimittaja,joku muu,http://mariatolppanen.blogaaja.fi,0.2348650474,2.0586995495,-0.635284316,Nationalistikonservatiivit
Henna Kupsala,12 Oulun vaalipiiri,121,Perussuomalaiset,36,Luomuviljelijä,ammattitutkinto ,http://www.hennakupsala.fi/,0.2582124279,1.336757417,-0.4036108826, 
Asko Salminen,10 Vaasan vaalipiiri,80,Perussuomalaiset,48,yrittäjä,joku muu,http://www.askosalminen.fi/vaalit/,0.2592733412,0.5941427321,-0.4725122488,Nationalistikonservatiivit
Emmi Voutilainen,08 Kaakkois-Suomen vaalipiiri,121,Perussuomalaiset,27,Lastensuojelutyöntekijä,korkeakoulututkinto ,http://www.emmivoutilainen.fi,0.2677049479,1.8141707786,-0.3538626486,Nationalistikonservatiivit
Heli Kupari,11 Keski-Suomen vaalipiiri,66,Perussuomalaiset,32,myyjä,korkeakoulututkinto ,http://www.helikupari.fi,0.2680091979,0.8445662788,-0.8813781906,Konservatiivit
Pekka M. Sinisalo,02 Uudenmaan vaalipiiri,85,Perussuomalaiset,45,Perussuomalaisten Uudenmaanpiiriin pj,korkeakoulututkinto ,http://www.pekkasinisalo.fi,0.2692638259,-0.0307628904,-0.2105455413,Konservatiivit
Mira Nieminen,06 Hämeen vaalipiiri,41,Perussuomalaiset,39,poliisi,korkeakoulututkinto ,http://www.miranieminen.com,0.2993314239,1.1245755832,-0.59138814,Konservatiivit
Tiina Elovaara,07 Pirkanmaan vaalipiiri,119,Perussuomalaiset,28,kasvatustieteen opiskelija,korkeakoulututkinto ,http://www.tiinaelovaara.fi,0.309254418,0.7635266668,0.2748064567,Konservatiivit
Timo Tukia,07 Pirkanmaan vaalipiiri,133,Perussuomalaiset,52,Maatalousyrittäjä,korkeakoulututkinto ,http://www.perustimo.fi,0.3119261375,1.0120853817,0.0536892671,Nationalistikonservatiivit
