name,district,party,age,www,education,segment,oik,imp,lib,vih
Marja Ruokonen,Varsinais-Suomi,Vasemmistoliitto,62,http://www.ehdokas.vasemmisto.fi/marjaruokonen,2. aste,Demarit,-0.912158464,-0.058665773,-0.672731628,0.729775164
Jari Suominen,Varsinais-Suomi,Vasemmistoliitto,56,http://jarijsuominen.wordpress.com/,ylioppilas,Vihervasemmisto,-1.543063781,-0.132506943,-0.322378412,0.983865496
Eveliina Tyyskänen,Varsinais-Suomi,Vasemmistoliitto,33,http://ehdokas.vasemmisto.fi/eveliinatyyskanen/,ammattikorkeakoulu,Vihervasemmisto,-1.574492314,0.014601656,0.663479841,0.970724215
Kaisa Vallavuori,Varsinais-Suomi,Vasemmistoliitto,37,http://ehdokas.vasemmisto.fi/kaisavallavuori/,Ammattikoulu,Demarit,-1.454093281,0.483449241,0.056439186,0.331349916
Johannes Yrttiaho,Varsinais-Suomi,Vasemmistoliitto,35,http://www.yrttiaho.wordpress.com,Filosofian maisteri & tohtorikoulutettava,Vihervasemmisto,-1.785379206,-0.174481602,-0.177581048,0.862529667
Ville Niinistö,Varsinais-Suomi,Vihreät,38,http://www.villeniinisto.fi,Valtiotieteiden maisteri & VTM & poliittisen historian tutkija,Viherliberaalit,-0.573606558,-0.970590918,0.822459099,1.237949677
Merja Hermonen,Varsinais-Suomi,Vihreät,52,http://www.merjahermonen.fi,yliopisto & teologian tohtori,Viherliberaalit,-0.140354272,-0.99692062,-0.281966418,0.747015319
Saara Ilvessalo,Varsinais-Suomi,Vihreät,25,http://www.saarailvessalo.net,Oikeusnotaari & OTM (valmistumisajankohta kevät 2015),Viherliberaalit,-0.775421872,-1.251895776,0.098803501,1.402667549
Tuomo Liljenbäck,Varsinais-Suomi,Vihreät,33,http://www.tuomoliljenback.net/,Yliopisto-opiskelija,Viherliberaalit,-1.083330576,-1.05701061,1.251288333,1.467479797
Elina Rantanen,Varsinais-Suomi,Vihreät,36,http://www.elinarantanen.net,tutkijakoulutus (tohtori),Viherliberaalit,-1.165275413,-0.684590276,0.113899608,1.282729233
Niina Ratilainen,Varsinais-Suomi,Vihreät,29,http://www.niinaratilainen.fi,Ammattikorkeakoulu,Vihervasemmisto,-1.160874635,-0.555493471,0.867937543,1.332679613
Mari Saario,Varsinais-Suomi,Vihreät,40,http://www.marisaario.net,FM & Biokemia,Viherliberaalit,-0.256346771,-1.040020855,0.859584327,0.817430567
