vaalipiiri;id;sukunimi;etunimi;puolue;ikä;sukupuoli;Ammatti;Koulutus;Talousoikeistolaisuus;Nationalismikonservatiivisuus;Arvoliberaalius;Segmentit
10 Vaasan vaalipiiri;4440;Mustonen;Heikki;Vasemmistoliitto;52;M;Pääluottamusmies;peruskoulu;-1,45465280409955;-,821368700257369;,527049502540853;3
01 Helsingin vaalipiiri;4996;Muttilainen;Sami;Vasemmistoliitto;34;M;Nuoriso-ohjaaja;joku muu;-1,53044130123682;-,89571240843982;1,95023297675232;3
08 Kaakkois-Suomen vaalipiiri;4641;Mykkänen;Risto;Vasemmistoliitto;50;M;Kehitysvammaisten ohjaaja;ammattitutkinto;-1,28138888458933;-,264226633275956;,165546272054232;3
08 Kaakkois-Suomen vaalipiiri;6015;Mykrä;Timo;Vasemmistoliitto;0;M; ; ; ; ; ; 
04 Satakunnan vaalipiiri;4901;Myllykoski;Jari;Vasemmistoliitto;55;M;Työehtosihteeri; ; ; ; ; 
04 Satakunnan vaalipiiri;5758;Mäkinen;Leila;Vasemmistoliitto;66;F;ompelija;ammattitutkinto; ; ; ; 
07 Pirkanmaan vaalipiiri;4430;Mäntylä;Jorma;Vasemmistoliitto;61;M;Tutkija, toimittaja.;korkeakoulututkinto;-1,41255108660862;,262987922597011;-,348938092013533;5
02 Uudenmaan vaalipiiri;5637;Nevanlinna;Anu;Vasemmistoliitto;64;F;lastentarhanopettaja;ammattitutkinto;-1,44541465382958;-1,24697890894833;,759269068941628;3
10 Vaasan vaalipiiri;5702;Niemi;Kauko;Vasemmistoliitto;50;M;Myyntiesimies;ammattitutkinto;-1,20604099561404;,129420883634348;,126282491892336;5
06 Hämeen vaalipiiri;4234;Nieminen;Janne;Vasemmistoliitto;46;M;Teurastaja; ;-1,56081985580253;-1,20274249205202;,212971046138004;3
12 Oulun vaalipiiri;6095;Niskanen;Auri;Vasemmistoliitto;0;F; ; ; ; ; ; 
04 Satakunnan vaalipiiri;4417;Norman;Aleksi;Vasemmistoliitto;29;M;Piirisihteeri;korkeakoulututkinto;-1,13722975903532;-,821434240997087;1,01155720694636;3
01 Helsingin vaalipiiri;5314;Nyholm;Henrik;Vasemmistoliitto;27;M; ; ;-,93932666869526;-,727207479890111;,906010190241851;3
02 Uudenmaan vaalipiiri;4748;Nyman;Daniel;Vasemmistoliitto;27;M;Stockyggare;ylioppilas; ; ; ; 
08 Kaakkois-Suomen vaalipiiri;4288;Ollikainen;Mikko;Vasemmistoliitto;30;M;LVI-asentaja;ammattitutkinto;-,661668133320287;-,566070218087331;,797692210202045;5
09 Savo-Karjalan vaalipiiri;4260;Orava;Joni;Vasemmistoliitto;37;M;Fyysikko/tutkija, FT;korkeakoulututkinto;-1,49283021302956;-,835156713247637;,20863337812194;3
12 Oulun vaalipiiri;4862;Paasimaa;Veli;Vasemmistoliitto;47;M;Rakennusala/kirvesmies;ammattitutkinto; ; ; ; 
